dataset_id,observacao_id,longitude_grau,latitude_grau,ano,camada_id,profundidade_inicial_cm,profundidade_final_cm,fracao_grossa_gkg,fracao_argila_gkg,fracao_silte_gkg,fracao_areia_gkg
ctb0080,B41(LVd),-55.3164846794175,-16.1351190086913,2009,1,0,20,136,120,401,479
ctb0080,B41(RQo),-55.4150676283056,-16.3151656540493,2008,1,0,20,117,76,32,892
ctb0080,B41(Soja),-55.3699313580915,-16.2439804631128,2009,1,0,20,110,497,148,355
ctb0080,B41+(Brizantao),-55.4112500976632,-16.3081240951006,2011,1,0,20,122,104,37,859
ctb0080,B41+(Cambarazal),-56.282917097247,-16.5506669533224,2009,1,0,20,129,433,395,172
ctb0080,B41+(Espinhal),-56.2920535041636,-16.5176588657145,2008,1,0,20,120,567,317,116
ctb0080,B41+(LVd),-55.3171015901318,-16.1362444760434,2011,1,0,20,139,117,384,499
ctb0080,B41+(RQo),-55.4161210399709,-16.3156705972063,2011,1,0,20,132,69,30,901
ctb0080,B41+(Soja),-55.3706052101712,-16.2450791333256,2009,1,0,20,105,451,127,422
ctb0080,B42(Brizantao),-55.4122658414559,-16.3074900762049,2008,1,0,20,116,104,37,859
ctb0080,B42(Cambarazal),-56.2835121714713,-16.5494125133793,2008,1,0,20,145,278,367,355
ctb0080,B42(Espinhal),-56.2932618666169,-16.5177714241038,2011,1,0,20,116,567,284,149
ctb0080,B42(LVd),-55.3164565571014,-16.1351278239535,2009,1,0,20,127,404,113,483
ctb0080,B42(RQo),-55.4150673377198,-16.3152018009347,2008,1,0,20,124,69,30,901
ctb0080,B42(Soja),-55.3699032960062,-16.2439802475921,2011,1,0,20,110,471,140,389
ctb0080,B42+(Brizantao),-55.4112780237357,-16.308142379363,2011,1,0,20,113,101,33,866
ctb0080,B42+(Cambarazal),-56.2829451456451,-16.5506851284921,2008,1,0,20,140,378,384,238
ctb0080,B42+(Espinhal),-56.2920533721851,-16.5176950231951,2009,1,0,20,104,584,333,83
ctb0080,B42+(LVd),-55.3171389851114,-16.1362447709429,2008,1,0,20,126,397,100,503
ctb0080,B42+(RQo),-55.4161489675389,-16.3156888809436,2009,1,0,20,138,76,33,891
ctb0080,B42+(Soja),-55.3706333467366,-16.2450703121807,2010,1,0,20,106,434,144,422
ctb0080,B43(Brizantao),-55.412052517523,-16.3072535061426,2011,1,0,20,117,108,30,862
ctb0080,B43(Cambarazal),-56.2834170151216,-16.5498008828716,2010,1,0,20,146,316,262,422
ctb0080,B43(Espinhal),-56.2931673078839,-16.5180061312911,2011,1,0,20,107,584,317,99
ctb0080,B43(RQo),-55.4150872878152,-16.31504831695,2008,1,0,20,124,96,34,870
ctb0080,B43(Soja),-55.3696768661113,-16.2442134744551,2008,1,0,20,110,462,149,389
ctb0080,B43+(Brizantao),-55.4111493520064,-16.3078522206702,2011,1,0,20,118,108,30,862
ctb0080,B43+(Cambarazal),-56.2827491754571,-16.5504584696777,2010,1,0,20,143,341,434,225
ctb0080,B43+(Espinhal),-56.291977552505,-16.5179297931905,2010,1,0,20,114,601,316,83
ctb0080,B43+(LVd),-55.3173002002551,-16.1359749288907,2011,1,0,20,123,401,116,483
ctb0080,B43+(RQo),-55.4159428827385,-16.3157144489309,2011,1,0,20,136,89,33,878
ctb0080,B43+(Soja),-55.370813006322,-16.2448367252838,2009,1,0,20,103,471,140,389
ctb0080,B44(Brizantao),-55.4120621656793,-16.3072174295234,2008,1,0,20,132,101,33,866
ctb0080,B44(Cambarazal),-56.2834171155196,-16.5497737648972,2011,1,0,20,135,342,269,389
ctb0080,B44(Espinhal),-56.2931768098879,-16.5179700054539,2008,1,0,20,105,601,316,83
ctb0080,B44(LVd),-55.3162297482536,-16.1354152220445,2008,1,0,20,116,424,117,459
ctb0080,B44(RQo),-55.4151155057687,-16.3150304539226,2009,1,0,20,114,96,33,871
ctb0080,B44(Soja),-55.369685997084,-16.244240656056,2011,1,0,20,109,471,140,389
ctb0080,B44+(Brizantao),-55.4111584908409,-16.3078794010863,2010,1,0,20,131,111,30,859
ctb0080,B44+(Cambarazal),-56.2827584132463,-16.5504946591512,2010,1,0,20,136,411,400,189
ctb0080,B44+(Espinhal),-56.2919961939644,-16.5179569747087,2011,1,0,20,114,584,350,66
ctb0080,B44+(LVd),-55.3173191263637,-16.1359479667906,2011,1,0,20,125,404,117,479
ctb0080,B44+(RQo),-55.415905307155,-16.3157322419603,2008,1,0,20,138,94,31,875
ctb0080,B44+(Soja),-55.370813229244,-16.244809615521,2011,1,0,20,103,431,114,455
ctb0080,C1(Brizantao),-55.4100944304616,-16.3063802591019,2009,1,0,20,118,114,33,853
ctb0080,C1(Cambarazal),-56.2838040725751,-16.5515739405068,2008,1,0,20,147,378,367,255
ctb0080,C1(Espinhal),-56.2915123023629,-16.5196005222502,2009,1,0,20,106,651,300,49
ctb0080,C1(LVd),-55.3141793626305,-16.136863044841,2009,1,0,20,124,421,130,449
